source,Si/Al,Na/Al,Ca/Si,OH/Al,Fine_aggregate_to_binder,Coarse_aggregate_to_binder,Solid_type,Activator_binder,NaOH_molarity,Water_in_sodium silicate,Humidity,Superplasticiser_dosage,Curing_temperature (C),Curing_age (d),CS (MPa)
,2.714553136,1.34618626,0.321145382,0.321145382,2.15,3.03,concrete,0.5,8,0.559,0.65,144,60,28,57.37
,2.802091569,1.481236093,0.311112675,0.311112675,2.15,3.03,concrete,0.55,8,0.559,0.65,144,60,28,53.39
,2.890313897,1.615567247,0.301616445,0.301616445,2.15,3.03,concrete,0.6,8,0.559,0.65,144,60,28,51.22
,2.626428508,1.211752437,0.331920782,0.331920782,1.93,2.3,concrete,0.45,8,0.559,0.65,168,60,28,58.8
,2.714357738,1.346391596,0.3211685,0.3211685,1.93,2.3,concrete,0.5,8,0.559,0.65,168,60,28,62.29
,2.802286968,1.481030756,0.311090981,0.311090981,1.93,2.3,concrete,0.55,8,0.559,0.65,168,60,28,58.93
,2.890216198,1.615669916,0.301626641,0.301626641,1.93,2.3,concrete,0.6,8,0.559,0.65,168,60,28,56.64
,2.62619403,1.211998841,0.331950417,0.331950417,1.69,2.16,concrete,0.45,8,0.559,0.65,180,60,28,56.56
,2.714279579,1.346473731,0.321177748,0.321177748,1.69,2.16,concrete,0.5,8,0.559,0.65,180,60,28,61.3
,2.802365127,1.480948621,0.311082305,0.311082305,1.69,2.16,concrete,0.55,8,0.559,0.65,180,60,28,54.38
,2.890450676,1.615423512,0.301602172,0.301602172,1.69,2.16,concrete,0.6,8,0.559,0.65,180,60,28,49.83
,2.601142836,1.245869349,0.408377142,0.408377142,2.15,3.03,concrete,0.45,8,0.559,0.65,144,60,28,61.96
,2.69184138,1.383970899,0.394617337,0.394617337,2.15,3.03,concrete,0.5,8,0.559,0.65,144,60,28,65.26
,2.781836834,1.522811299,0.381851036,0.381851036,2.15,3.03,concrete,0.55,8,0.559,0.65,144,60,28,53.39
,2.872535378,1.660912848,0.369794324,0.369794324,2.15,3.03,concrete,0.6,8,0.559,0.65,144,60,28,52.4
,2.601243277,1.245763799,0.408361373,0.408361373,1.93,2.3,concrete,0.45,8,0.559,0.65,168,60,28,57.54
,2.691640497,1.384181999,0.394646788,0.394646788,1.93,2.3,concrete,0.5,8,0.559,0.65,168,60,28,64.28
,2.782037717,1.522600199,0.381823464,0.381823464,1.93,2.3,concrete,0.55,8,0.559,0.65,168,60,28,50.64
,2.872434937,1.661018399,0.369807254,0.369807254,1.93,2.3,concrete,0.6,8,0.559,0.65,168,60,28,49.44
,2.601002218,1.246017119,0.40839922,0.40839922,1.69,2.16,concrete,0.45,8,0.559,0.65,180,60,28,54.97
,2.691560144,1.384266439,0.39465857,0.39465857,1.69,2.16,concrete,0.5,8,0.559,0.65,180,60,28,61.9
